route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
429,EPTC,429,Protasio / Iguatemi / Vila Inga,,3,https://linhas.eptc.com.br,008000,000000
4291,EPTC,4291,Protasio/Iguatemi/Cananeia,,3,https://linhas.eptc.com.br,008000,000000
470,EPTC,470,Bom Jesus/Madri,,3,https://linhas.eptc.com.br,008000,000000
4921,EPTC,4921,Petropolis/Vila Margarita,,3,https://linhas.eptc.com.br,008000,000000
4934,EPTC,4934,Jardim Ypu/Petrópolis,,3,https://linhas.eptc.com.br,008000,000000
4951,EPTC,4951,Manoel Elias/Morro Santana,,3,https://linhas.eptc.com.br,008000,000000
614,EPTC,614,Leao/Porto Seco,,3,https://linhas.eptc.com.br,0000FF,000000
621,EPTC,621,Nova Gleba/Santa Rosa,,3,https://linhas.eptc.com.br,0000FF,000000
6321,EPTC,6321,N. Sra. De Fátima Via Santo Expedito,,3,https://linhas.eptc.com.br,0000FF,000000
653,EPTC,653,Itu Coinma/Av Do Forte,,3,https://linhas.eptc.com.br,0000FF,000000
659,EPTC,659,Inga,,3,https://linhas.eptc.com.br,0000FF,000000
6611,EPTC,6611,Leopoldina (Chacara Da Fumaca),,3,https://linhas.eptc.com.br,0000FF,000000
6612,EPTC,6612,Leopoldina/Noite,,3,https://linhas.eptc.com.br,0000FF,000000
6651,EPTC,6651,Planalto/Sabara Via Jardim Europa,,3,https://linhas.eptc.com.br,0000FF,000000
701,EPTC,701,Vila Farrapos/Voluntarios,,3,https://linhas.eptc.com.br,0000FF,000000
7041,EPTC,7041,Humaita/A.j.renner/Dona Teodora,,3,https://linhas.eptc.com.br,0000FF,000000
7271,EPTC,7271,Agostinho/Cairú Via Sertório,,3,https://linhas.eptc.com.br,0000FF,000000
7621,EPTC,7621,Rubem Berta/Cairu Via Sertorio,,3,https://linhas.eptc.com.br,0000FF,000000
855,EPTC,855,Protasio/Cairu,,3,https://linhas.eptc.com.br,0000FF,000000
856,EPTC,856,Passo Das Pedras/Cairu,,3,https://linhas.eptc.com.br,0000FF,000000
A09,EPTC,A09,Alim. Restinga Nova/Restinga Velha,,3,https://linhas.eptc.com.br,FF0000,000000
