latitude,longitude,rwi,error
-15.8451046,-47.9772949,0.451,0.432
-31.2691604,-52.5695801,0.101,0.434
-21.8920839,-42.7258301,0.560,0.432
-22.5227053,-46.3073730,-0.476,0.416
-5.9985331,-40.7922363,-0.809,0.420
-4.9705600,-50.5920410,-0.636,0.386
-9.8930985,-37.4304199,-0.400,0.413
-20.7458399,-41.4294434,-0.438,0.448
-3.0637244,-42.2204590,-0.334,0.455
-17.3611242,-41.3415527,-0.257,0.363
-30.4013061,-56.4587402,0.372,0.422
-17.8219152,-47.2741699,0.448,0.463
-7.7218784,-35.1452637,-0.042,0.356
-21.3405481,-41.4733887,0.182,0.412
-25.0756480,-52.9650879,-0.217,0.442
-17.0672871,-41.4953613,0.881,0.483
-6.0859354,-49.3615723,0.175,0.463
-0.9337965,-47.0324707,0.053,0.381
-20.2725029,-49.1418457,0.479,0.509
-5.6706511,-44.9890137,-0.167,0.462
-22.2992611,-52.5915527,-0.359,0.436
-7.6565531,-36.4855957,-0.825,0.366
-2.2077054,-47.0983887,-0.391,0.327
-10.9951198,-62.7429199,-0.532,0.510
-2.8223442,-45.0988770,-0.515,0.329
-21.5655017,-42.5939941,-0.445,0.452
-15.4430906,-55.6896973,-0.120,0.510
-29.4300290,-51.7126465,0.240,0.438
-2.7784514,-54.5910645,-0.809,0.384
-29.7166808,-50.9436035,-0.181,0.429
-30.7795979,-51.8444824,-0.034,0.407
-1.6587038,-47.3840332,-0.595,0.346
-11.8781020,-38.8146973,-0.412,0.354
-3.0856655,-42.0227051,-0.327,0.406
-26.1850178,-50.5261230,-0.347,0.433
-4.8611009,-49.8229980,-0.349,0.459
-8.8742168,-37.3864746,-0.823,0.377
-9.5899171,-62.3474121,-0.270,0.420
-14.5304150,-40.0671387,-0.319,0.458
-2.7565043,-58.0627441,-0.516,0.433
-5.5175751,-35.7824707,-0.201,0.406
-20.8074712,-49.4274902,1.033,0.422
-20.5196439,-41.3854980,-0.452,0.368
-22.8470703,-46.2194824,-0.399,0.453
-10.9951198,-55.2502441,0.204,0.496
-11.6629959,-39.1882324,0.072,0.434
-9.1780244,-36.7272949,-0.212,0.396
-2.6687122,-48.9660645,-0.497,0.331
-3.5463174,-43.0554199,-0.380,0.360
-12.2433913,-40.7922363,0.185,0.453
-20.9101341,-50.3503418,0.836,0.489
-0.9118267,-51.3830566,-0.732,0.366
-3.1076060,-49.6032715,-0.960,0.330
-16.7098626,-44.3298340,-0.409,0.407
-4.8173122,-40.3308105,-0.375,0.404
-12.0930384,-38.3532715,0.278,0.412
-18.7815164,-45.4943848,0.419,0.461
-29.2193016,-49.8229980,0.329,0.429
-30.1926178,-50.1965332,0.215,0.491
-26.1652985,-48.5925293,0.661,0.467
-22.0958194,-41.8688965,0.779,0.472
-25.6712354,-53.1848145,-0.650,0.415
-22.1975771,-45.9997559,-0.496,0.427
-24.0765587,-46.5710449,0.929,0.472
-26.7161733,-53.4924316,0.248,0.471
-21.0537441,-43.0554199,0.080,0.459
-8.5484296,-36.7272949,0.062,0.463
-8.8307950,-41.5612793,-0.887,0.419
-20.4373076,-44.7253418,-0.020,0.419
-9.0912484,-38.3752441,-0.479,0.401
-9.1346391,-36.7272949,0.005,0.415
-9.1563324,-36.1999512,-0.142,0.425
-29.6021178,-51.6247559,-0.136,0.399
-23.9159700,-47.0544434,-0.115,0.440
-5.3644596,-43.7145996,-0.075,0.340
-20.6841834,-46.1975098,-0.045,0.456
-26.5393939,-48.7023926,0.594,0.393
-10.4337931,-62.0617676,-0.178,0.508
-4.3792747,-38.0017090,-0.331,0.328
-18.7607124,-40.2429199,-0.433,0.415
-25.2148807,-50.0646973,0.736,0.428
-19.6529339,-42.1105957,0.031,0.408
-23.1706634,-47.0544434,1.112,0.466
-1.1754546,-47.1643066,0.175,0.485
-7.5040887,-34.8596191,0.197,0.465
-0.9557662,-50.0427246,-1.255,0.357
-21.2177003,-45.7800293,0.475,0.437
-1.9222467,-44.7692871,-0.799,0.354
-16.0352546,-42.2644043,-0.628,0.432
-19.9836736,-44.0881348,0.660,0.445
-20.2725029,-50.5041504,0.325,0.437
