latitude,longitude,rwi,error
-20.1487843,-43.2971191,-0.136,0.466
-25.7504244,-53.0090332,-0.373,0.431
-6.3043786,-39.2980957,0.335,0.426
-28.4107280,-49.0100098,0.414,0.424
-5.6706511,-39.5837402,-0.214,0.404
-20.1694109,-41.1657715,-0.496,0.381
-16.8360897,-54.0417480,0.021,0.483
-21.6267923,-42.2863770,-0.507,0.448
-16.4150090,-48.9660645,-0.004,0.477
-2.7784514,-42.6159668,-0.309,0.356
-9.3515125,-38.0895996,-0.279,0.450
-8.8307950,-35.8923340,-0.293,0.365
-4.3792747,-37.9577637,0.304,0.391
-19.3422447,-48.9440918,-0.794,0.435
-23.4128467,-47.5598145,-0.006,0.430
-8.5918843,-38.2873535,-0.507,0.361
-5.6487856,-37.7160645,-0.556,0.424
-6.3698938,-38.1335449,-0.267,0.429
-0.9997051,-50.8337402,-0.926,0.445
-21.1767283,-46.3952637,-0.567,0.435
-15.4219101,-47.5378418,0.387,0.429
-1.7465556,-54.8107910,-0.449,0.405
-25.7702134,-52.6135254,-0.009,0.441
-20.5607954,-42.8796387,-0.155,0.404
-6.5445599,-35.5407715,-0.602,0.371
-26.0666517,-51.8444824,-0.628,0.400
-3.5243866,-49.4934082,-0.138,0.329
-28.7580278,-49.5373535,0.172,0.436
-9.9796707,-36.8811035,0.303,0.426
-11.3400249,-38.3093262,-0.426,0.423
-20.2312743,-54.9206543,-0.211,0.519
-2.6467632,-54.2834473,-0.657,0.369
-24.1768248,-46.8127441,1.152,0.488
-9.4598988,-35.5407715,0.813,0.496
-22.8268200,-45.2087402,0.463,0.407
-28.4880048,-51.7126465,-0.627,0.421
-11.6414761,-38.9904785,0.376,0.440
-7.3733623,-39.3640137,-0.035,0.504
-23.1504616,-45.2526855,-0.139,0.385
-14.4878712,-46.1096191,0.558,0.489
-6.2606973,-35.2331543,-0.092,0.477
-9.8498038,-36.3977051,0.390,0.451
-22.6444321,-47.8454590,-0.010,0.474
-30.7040578,-52.1520996,-0.427,0.384
-25.9284066,-49.4274902,-0.471,0.416
-7.2425974,-40.2209473,-0.757,0.355
-29.6403199,-51.2731934,0.746,0.380
-9.1129444,-38.1774902,-0.246,0.447
-7.1335976,-37.1887207,-0.508,0.419
-3.5024552,-42.6379395,-0.325,0.384
-22.7255234,-42.7697754,-0.509,0.453
-3.5682478,-58.0847168,-0.293,0.391
-22.0143603,-45.9997559,-0.213,0.413
-30.8173458,-55.4699707,-0.294,0.449
-2.0320445,-50.7678223,-0.927,0.357
-17.3191761,-41.8249512,-0.498,0.352
-15.5701276,-58.0187988,0.020,0.440
-17.9682826,-42.6818848,-0.498,0.358
-27.0689087,-51.1413574,-0.371,0.434
-25.7108365,-50.2404785,-0.497,0.425
-15.6547754,-56.0192871,1.165,0.536
-4.4011829,-59.9084473,-0.765,0.384
-23.0898380,-46.6149902,0.504,0.411
-29.2768159,-51.2072754,-0.227,0.437
-22.6241518,-42.0446777,1.170,0.484
-18.3858046,-42.7697754,-0.578,0.365
-12.4365763,-39.8034668,-0.862,0.339
-2.2516175,-45.2087402,-0.167,0.349
-27.2253254,-52.0202637,0.978,0.426
-2.3174830,-49.4274902,-0.232,0.377
-4.8611009,-45.7141113,-0.121,0.349
-16.5203656,-40.4406738,0.041,0.496
-0.9337965,-47.4719238,-0.645,0.369
-8.6353339,-35.4089355,-0.529,0.346
-7.6129974,-38.5510254,-0.221,0.416
-8.5267005,-36.1560059,-0.527,0.452
-28.7772886,-54.4372559,0.156,0.451
-3.7655967,-58.9416504,-0.375,0.389
-22.0550957,-51.4709473,-0.029,0.487
-6.7628064,-39.7814941,-0.341,0.420
-27.1666948,-52.7673340,-0.318,0.396
-3.0856655,-58.4802246,-0.539,0.519
-9.3515125,-37.4743652,-0.438,0.332
-8.0483515,-39.1882324,-0.302,0.402
-31.4942613,-52.7014160,0.030,0.415
-1.8344033,-54.4152832,-0.772,0.387
-26.6376385,-53.5144043,0.570,0.423
-5.8674033,-35.2111816,1.298,0.414
-18.9062862,-40.7922363,0.077,0.391
-26.9122734,-48.6804199,1.193,0.430
-10.6714043,-39.5178223,-0.274,0.432
-1.2413579,-47.6477051,-0.242,0.354
-4.7516240,-45.3625488,-0.334,0.432
-1.9222467,-48.9880371,-0.725,0.430
-17.1932744,-40.1550293,-0.175,0.436
-29.8501727,-52.7893066,-0.291,0.361
-8.0048367,-39.7814941,-0.427,0.439
-5.6269192,-35.4528809,0.357,0.429
-8.9827489,-36.8591309,-0.408,0.386
-9.1997151,-42.1984863,-0.208,0.457
-20.3137206,-42.7258301,-0.165,0.393
-25.3340963,-50.8337402,-0.480,0.407
-6.5008990,-38.3972168,-0.199,0.383
-2.9978987,-56.7004395,-0.759,0.377
-7.2643942,-35.8923340,0.773,0.473
-20.1900348,-41.1657715,-0.687,0.364
-4.2916356,-38.0236816,0.254,0.379
-27.5959343,-50.3723145,0.842,0.460
-29.7548395,-50.4162598,0.334,0.438
-4.9267785,-42.8356934,0.201,0.398
-12.8225137,-42.7038574,-0.167,0.402
3.7875216,-51.5808105,-0.996,0.391
-13.9127399,-39.1442871,-0.533,0.410
-10.5850215,-52.2399902,0.612,0.464
-4.6859294,-39.3200684,-0.633,0.432
-21.2791370,-46.6809082,0.059,0.428
-16.3517676,-44.2858887,-0.465,0.357
-14.4027591,-39.1662598,-0.667,0.353
-23.5539161,-46.5710449,1.673,0.423
-15.5701276,-55.1403809,0.063,0.485
-4.9924497,-38.8586426,-0.401,0.411
-1.4170918,-51.6467285,0.957,0.559
-2.3174830,-47.9772949,-0.336,0.331
-0.3405742,-50.4382324,-0.672,0.345
-1.5269188,-54.0637207,-0.584,0.417
-12.8867796,-42.5500488,-0.398,0.347
-3.8971380,-55.8435059,-0.388,0.365
-15.5912928,-47.8674316,0.448,0.495
-8.9610451,-37.6721191,-0.587,0.368
-28.2560052,-53.7341309,-0.235,0.437
-25.4135082,-50.7458496,-0.392,0.363
-14.4027591,-56.4367676,0.857,0.499
-21.9532352,-43.4289551,-0.324,0.449
-9.2214045,-40.6604004,-0.162,0.410
-22.9887378,-43.6486816,1.165,0.437
-22.5835822,-47.7136230,0.887,0.459
-11.2753865,-40.3088379,0.285,0.368
-22.2179198,-54.5910645,-0.016,0.482
-14.4878712,-40.5725098,-0.905,0.378
-6.1951683,-40.7482910,-0.860,0.331
-23.9962894,-53.1408691,0.467,0.493
-3.8971380,-42.9455566,-0.390,0.375
-29.7166808,-50.6140137,-0.080,0.421
-4.2478122,-56.0192871,0.894,0.507
-8.2006163,-35.8483887,-0.658,0.418
-5.4519589,-38.0676270,0.022,0.406
-3.4805234,-69.0490723,-0.761,0.401
-19.1555462,-40.3308105,-0.714,0.409
-21.0947502,-44.2199707,0.720,0.455
-21.2177003,-44.9670410,0.696,0.470
-25.6118091,-49.2517090,0.258,0.460
-9.2430925,-35.4528809,0.061,0.412
-15.8873757,-43.9782715,-0.928,0.367
-6.6536952,-35.0354004,-0.751,0.373
-4.9267785,-44.9670410,-0.514,0.387
-23.9962894,-46.2634277,1.146,0.442
-31.4380367,-52.1960449,0.330,0.415
-20.1487843,-42.0886230,-0.226,0.420
-20.1900348,-41.1877441,-0.076,0.446
-12.2648633,-41.4514160,-0.544,0.356
-13.7847363,-42.9675293,-0.760,0.359
-12.0070844,-64.8522949,-0.651,0.413
-7.0463790,-38.9245605,-0.516,0.356
-19.0725011,-42.6159668,-0.705,0.358
-25.3738088,-54.0637207,0.347,0.473
-25.1950000,-53.1188965,-0.360,0.424
-22.7863104,-42.1325684,-0.366,0.467
-5.8674033,-35.4968262,-0.392,0.415
-8.8090822,-37.4743652,-0.712,0.339
-3.3927908,-41.8908691,-0.580,0.390
-27.5374999,-53.7341309,-0.107,0.375
-2.8881803,-45.4504395,-0.832,0.353
-6.0422360,-47.9333496,0.127,0.463
-15.8451046,-42.0227051,0.353,0.413
-22.5835822,-41.9787598,0.804,0.481
-8.0048367,-38.2434082,0.011,0.410
-12.3292689,-39.2980957,0.386,0.451
-4.6202287,-40.6164551,-0.307,0.446
-5.2113056,-42.6159668,-0.240,0.351
-3.9190595,-45.3625488,-0.384,0.424
-26.6179963,-49.4055176,0.000,0.459
-24.3971326,-54.0856934,-0.350,0.446
-16.8360897,-41.8029785,-0.982,0.324
-2.8881803,-44.7253418,-0.041,0.356
-22.5632929,-43.3410645,-0.161,0.457
-9.1563324,-40.0012207,-0.621,0.434
-26.8730805,-52.3498535,0.031,0.410
-15.8662413,-43.2312012,0.038,0.433
-5.9766803,-44.9011230,0.043,0.448
-4.0067400,-38.5729980,-0.602,0.396
-6.1296313,-46.8127441,-0.472,0.326
-16.3306825,-41.3415527,-0.910,0.332
-6.7846256,-40.7702637,0.096,0.376
-7.7218784,-37.8479004,0.381,0.479
-4.4011829,-42.5500488,-0.598,0.362
-11.1676236,-38.1115723,-0.566,0.348
-27.0101960,-53.4045410,-0.049,0.432
-21.4223895,-51.5368652,0.142,0.437
-27.0101960,-52.9431152,-0.648,0.419
-1.5049538,-47.7355957,-0.472,0.456
-19.2592938,-43.2751465,-0.543,0.389
-3.2611771,-39.8693848,-0.669,0.326
-29.0849761,-52.8771973,-0.586,0.383
-29.1617551,-52.5695801,-0.587,0.370
-12.1789647,-49.2077637,-0.010,0.397
-5.2769476,-42.3742676,-0.539,0.438
-13.6993616,-41.2316895,-0.691,0.397
-3.5243866,-50.7897949,-0.809,0.339
-5.6050520,-35.3210449,0.114,0.450
-23.6948343,-47.4499512,0.420,0.421
-25.7899992,-53.0969238,-0.073,0.410
-17.5078668,-42.5061035,-0.608,0.353
-22.5024071,-43.5388184,0.433,0.389
-26.6179963,-49.3176270,-0.170,0.425
-13.2292507,-40.1770020,-0.642,0.352
-18.5525320,-42.2204590,-0.739,0.373
-11.7490585,-62.2375488,-0.544,0.490
-0.2307123,-50.5041504,-0.756,0.345
-1.5049538,-47.7136230,-0.472,0.346
-10.8225151,-38.5510254,0.579,0.490
-29.3726011,-52.9211426,-0.727,0.355
-22.7255234,-47.1862793,1.366,0.417
-8.5049700,-35.4089355,-0.101,0.427
-23.7149531,-50.0646973,0.068,0.436
-17.7382226,-41.6931152,0.419,0.347
-14.4027591,-56.4147949,-0.006,0.485
-23.8556976,-47.5158691,-0.433,0.457
-9.8930985,-36.3977051,-0.196,0.415
-12.9510290,-39.5617676,-0.100,0.407
-9.2430925,-37.1008301,-0.735,0.344
-5.1018870,-39.0563965,-0.381,0.402
-4.7516240,-43.6486816,-0.239,0.426
-22.7255234,-43.8024902,-0.278,0.471
-24.4171416,-51.3171387,0.652,0.469
-12.6939327,-38.6169434,0.265,0.491
-20.4373076,-45.5163574,0.134,0.464
-0.8239462,-48.5266113,-0.139,0.379
-3.1953637,-59.6667480,-0.611,0.435
-11.8996033,-40.2429199,-0.853,0.323
-8.6570568,-35.9362793,-0.280,0.425
-21.6880569,-42.0227051,-0.237,0.395
-20.0456105,-44.0002441,0.558,0.471
-17.8637468,-42.5500488,0.349,0.494
-23.0089639,-44.2639160,0.761,0.461
-3.5024552,-39.0563965,-0.373,0.421
-9.3948711,-63.2482910,-0.327,0.431
-3.5901776,-58.2824707,-0.681,0.390
-25.4531946,-48.5705566,-0.251,0.434
-20.5607954,-41.1218262,-0.249,0.401
-22.6647094,-45.7580566,-0.001,0.391
-28.6038140,-49.3615723,-0.122,0.439
-29.6021178,-52.0642090,0.186,0.447
-10.3041101,-48.1530762,0.508,0.479
-19.2800355,-40.5944824,-0.319,0.401
-5.9329721,-40.5285645,-0.400,0.423
-2.5809138,-54.2834473,-0.335,0.459
-20.0249676,-41.1657715,-0.828,0.375
-3.5682478,-45.2307129,-0.365,0.353
-3.9848207,-42.1105957,-0.301,0.381
-8.2006163,-39.4079590,-0.457,0.339
-15.1887835,-42.8576660,-0.768,0.395
-28.8735390,-52.0422363,-0.220,0.406
-3.6121068,-40.8801270,-0.538,0.391
-8.4832384,-36.1340332,-0.357,0.394
-27.7710508,-51.9763184,-0.736,0.393
-22.0754590,-41.1437988,0.128,0.465
-3.4585910,-60.5017090,-0.715,0.403
-7.7654229,-35.5407715,-0.087,0.442
-6.1951683,-36.0021973,0.034,0.405
-9.2214045,-37.1667480,-0.531,0.364
-10.0445848,-37.4743652,-0.823,0.403
-28.8927784,-50.3503418,0.528,0.456
-22.0958194,-44.9890137,-0.429,0.417
-19.0517333,-40.4187012,-0.114,0.433
-15.9296380,-44.6594238,-0.744,0.325
-23.3119906,-50.8557129,-0.320,0.437
-5.7362428,-36.1999512,-0.543,0.358
-5.4300853,-39.0563965,-0.733,0.393
-21.6063650,-48.4826660,0.271,0.449
-28.4686909,-54.5031738,0.001,0.405
-11.8996033,-62.7209473,-0.828,0.475
-27.2839252,-51.4489746,0.800,0.421
-23.4733235,-49.9548340,-0.519,0.392
-2.0100856,-52.6354980,-0.472,0.383
-12.9081979,-38.4191895,1.101,0.440
-16.2885057,-42.3083496,-0.746,0.378
-21.7288855,-45.3625488,-0.293,0.400
-7.6565531,-35.7165527,-0.521,0.434
-3.5682478,-66.2585449,-0.651,0.403
-8.8742168,-36.3537598,0.602,0.438
-6.3262180,-42.5500488,-0.705,0.392
-2.1857489,-44.4396973,-0.395,0.356
-4.9924497,-42.2424316,-0.468,0.418
-2.4272521,-48.8342285,-0.266,0.415
-2.4052990,-47.0324707,-0.497,0.327
-29.2768159,-51.2512207,-0.049,0.439
-22.0550957,-41.8469238,-0.135,0.394
-21.0332369,-42.9016113,-0.185,0.426
-3.7655967,-49.4494629,-0.177,0.372
-8.8742168,-36.0681152,-0.488,0.419
-2.8662354,-44.9450684,-0.235,0.393
-14.8492310,-40.5065918,-0.294,0.375
-3.1076060,-44.9230957,-0.132,0.386
-4.2916356,-39.5617676,-0.721,0.414
-27.4400400,-51.7565918,-0.029,0.470
-2.9101249,-57.5573730,-0.799,0.407
-2.9101249,-56.7883301,-0.535,0.382
-9.0695511,-68.6975098,-0.020,0.490
-15.5701276,-55.9973145,-0.169,0.518
-10.4121830,-38.3752441,-0.239,0.431
-22.6241518,-45.1647949,0.341,0.459
-18.8647066,-40.4187012,-0.304,0.369
-20.8074712,-42.6379395,-0.589,0.363
-22.0143603,-48.3947754,0.136,0.423
-7.3079846,-41.4294434,-0.914,0.420
-7.8307313,-35.4528809,0.188,0.403
-29.4682962,-51.8005371,0.844,0.463
0.6921218,-51.4050293,0.663,0.552
-3.1295462,-45.0329590,-0.221,0.452
-11.1460662,-62.7868652,-0.523,0.492
-13.8060751,-39.6057129,-0.110,0.425
-16.8150577,-41.5173340,-0.295,0.464
-22.2585964,-45.1647949,-0.069,0.469
-1.7904800,-51.2731934,-0.216,0.344
-7.1990006,-35.6506348,0.549,0.446
-11.4046486,-39.4299316,0.031,0.458
-0.8898568,-47.3620605,-0.163,0.373
-26.5393939,-49.8449707,-0.457,0.416
-19.4458740,-43.8244629,0.105,0.486
-20.1900348,-42.1984863,-0.532,0.431
-29.4300290,-53.0749512,-0.424,0.443
-10.5850215,-40.9680176,-1.005,0.348
-16.6256648,-54.4592285,0.637,0.532
-20.8690774,-45.2746582,0.888,0.457
-6.6318701,-40.3308105,-0.944,0.330
-3.8971380,-45.7141113,-0.398,0.368
-7.1335976,-35.4309082,0.659,0.464
-21.1767283,-42.8137207,-0.062,0.422
-9.3515125,-40.3967285,-0.302,0.448
-9.8930985,-62.9187012,-0.523,0.517
-25.3539542,-51.4050293,0.442,0.396
-7.5476555,-36.2438965,-0.342,0.456
-12.0500648,-38.5510254,0.144,0.435
-1.9222467,-49.6472168,-0.387,0.375
-20.2518900,-40.6604004,-0.250,0.411
-28.2947070,-49.0100098,0.340,0.423
-9.3948711,-36.6394043,0.479,0.471
-29.2384766,-52.3498535,-0.210,0.408
-26.8534790,-53.0749512,-0.159,0.418
-7.7218784,-35.8923340,-0.229,0.431
-26.5000725,-53.6901855,0.038,0.398
-19.6736252,-40.9460449,-0.203,0.370
-25.8691090,-50.4821777,-1.174,0.384
-19.4458740,-44.7253418,-0.252,0.423
-16.2041247,-42.6159668,-0.906,0.368
-11.8135879,-40.7482910,-0.498,0.374
-7.2207995,-35.8923340,1.461,0.424
-3.0856655,-45.5603027,-0.736,0.344
-2.0320445,-48.7902832,-0.404,0.364
-26.8142658,-53.0310059,-0.193,0.424
-3.8094460,-38.6389160,1.170,0.470
-5.7143797,-44.6374512,-0.317,0.364
-20.1075229,-45.0109863,-0.198,0.438
-9.5899171,-62.3913574,-0.515,0.530
-3.9848207,-45.5383301,-0.946,0.376
-23.3926816,-45.0329590,0.349,0.440
-17.0042615,-40.9020996,0.000,0.347
-8.2658549,-35.5847168,-0.300,0.447
-1.0436434,-50.8337402,-1.023,0.340
-17.3611242,-42.5500488,-0.794,0.367
-9.1129444,-37.0129395,-0.701,0.377
-3.0198411,-45.4064941,-0.115,0.380
-1.4610233,-47.4279785,-0.161,0.379
-13.2078602,-39.0344238,-0.538,0.373
-19.9423689,-40.5505371,0.056,0.405
-29.5065490,-51.9104004,0.117,0.433
-7.6129974,-38.5290527,-0.509,0.322
-7.2207995,-40.9680176,-0.742,0.336
-13.8060751,-39.1442871,-0.289,0.421
-9.7631974,-38.3093262,-0.289,0.388
-2.8442900,-45.8239746,-0.383,0.352
-21.0127268,-48.7683105,0.629,0.489
-10.0229482,-67.5109863,-0.451,0.480
-21.9328544,-45.7360840,-0.165,0.388
-8.2006163,-35.4748535,-0.521,0.423
-20.2106559,-48.8122559,-0.273,0.430
-31.3817783,-52.3059082,-0.474,0.351
-30.0976128,-51.1193848,0.767,0.475
-4.4011829,-42.9675293,-0.454,0.384
-4.6421296,-44.6154785,-0.499,0.395
-6.9809543,-35.4748535,-0.172,0.415
-15.2735868,-55.1184082,-0.343,0.501
-9.3515125,-36.5295410,-0.037,0.385
-7.2861900,-37.2326660,-0.180,0.441
-11.2322862,-38.9685059,-0.338,0.404
-27.8682161,-52.0861816,0.263,0.459
-1.6367402,-46.0437012,-0.687,0.338
-8.5701576,-39.3420410,-0.768,0.405
-20.9306583,-42.5280762,-0.197,0.390
-22.3602361,-45.9118652,-0.246,0.428
-9.2864645,-58.8977051,-0.960,0.384
-9.7415422,-35.9582520,0.238,0.419
-4.0067400,-55.6457520,-0.075,0.391
-7.2861900,-37.0568848,-0.088,0.383
-21.7288855,-41.3635254,0.786,0.469
-22.8268200,-46.3513184,-0.081,0.434
-9.7198857,-36.9909668,0.053,0.435
-19.9630226,-42.3962402,-0.626,0.339
-7.4387304,-39.7375488,-0.836,0.352
-5.2113056,-45.9777832,-0.271,0.341
-1.5269188,-48.0432129,0.604,0.513
-17.4449916,-41.8249512,-0.341,0.361
-2.6687122,-47.9333496,-0.722,0.372
-17.4240283,-41.2316895,-0.133,0.463
-25.0557447,-52.6354980,-0.470,0.378
-14.5516838,-40.4846191,-0.274,0.407
-19.0101900,-42.8137207,-0.593,0.438
-11.3831090,-55.3820801,-0.201,0.527
-22.9482765,-44.7692871,-0.404,0.361
-4.4449973,-47.5378418,0.704,0.495
-27.4010320,-53.8220215,-0.191,0.377
-29.4874244,-51.7565918,-0.669,0.415
-3.4366581,-59.6447754,-0.364,0.391
-26.0666517,-53.2287598,-0.111,0.407
-22.0550957,-45.3845215,-0.853,0.405
-2.7126091,-43.9562988,-0.338,0.346
-10.0229482,-58.3703613,-0.644,0.380
-27.1666948,-53.4484863,-0.494,0.382
-2.3394375,-48.2409668,-0.020,0.370
-6.1077838,-39.4519043,0.513,0.485
-1.0875811,-48.2189941,0.012,0.482
-2.4272521,-48.2409668,0.981,0.491
-8.6136097,-36.5515137,-0.360,0.391
-7.2207995,-40.1110840,-0.350,0.433
-4.4011829,-43.9343262,-0.028,0.373
-8.8525066,-38.7707520,0.820,0.502
-14.6792536,-43.3190918,-0.511,0.397
-14.1046123,-43.2092285,-0.361,0.354
-3.4585910,-43.4509277,-0.522,0.352
-21.3405481,-47.7575684,0.955,0.426
-3.8313699,-39.3420410,-0.440,0.420
-10.3041101,-36.3098145,0.444,0.493
-22.4414945,-43.5607910,-0.340,0.417
-16.3517676,-49.0319824,-0.522,0.453
-19.3422447,-47.2741699,-0.209,0.452
-22.7255234,-42.1765137,-0.578,0.410
-4.3573658,-38.4631348,0.336,0.437
-25.8691090,-49.1638184,-0.291,0.403
-25.7306321,-51.6247559,0.482,0.430
-7.0463790,-37.2766113,1.013,0.469
-5.6925158,-39.8034668,-0.809,0.361
-17.3401514,-44.9011230,0.493,0.450
-7.5476555,-35.7824707,0.097,0.424
-22.2992611,-43.1872559,0.214,0.436
-3.3708564,-53.1408691,-0.522,0.351
-27.0101960,-52.2399902,0.525,0.396
-7.5040887,-42.5720215,0.268,0.475
-6.8718928,-40.0891113,-1.012,0.337
-18.6150130,-45.3405762,0.202,0.444
-7.0681852,-35.8264160,0.166,0.428
-3.9190595,-39.7155762,0.006,0.436
-25.3539542,-51.2292480,-0.385,0.371
-5.6706511,-40.5944824,-0.831,0.412
-3.4805234,-41.5393066,0.427,0.449
-21.7288855,-41.2976074,0.939,0.449
-23.2312505,-50.1525879,0.096,0.463
-6.8937071,-39.3640137,-0.660,0.400
-28.7194957,-53.6462402,-0.125,0.407
-23.4934763,-47.0324707,0.343,0.473
-27.6154056,-52.1960449,-0.275,0.416
-26.9318647,-49.8669434,-0.366,0.438
-7.7218784,-38.1774902,-0.516,0.362
-8.8959258,-35.3210449,-0.410,0.416
-15.3371669,-48.1750488,0.294,0.390
-6.4572344,-37.2766113,0.615,0.478
-27.4010320,-48.5705566,0.318,0.460
-3.8313699,-45.3845215,-0.770,0.367
-6.9809543,-41.6491699,0.035,0.429
-5.9766803,-35.1232910,1.081,0.501
-12.7582314,-40.8142090,-0.216,0.419
-24.2369466,-47.4499512,-0.167,0.417
-24.6969338,-49.3176270,-0.392,0.366
-10.7793483,-37.2106934,0.261,0.479
-15.4219101,-49.7790527,-0.042,0.470
-4.2916356,-50.4821777,-0.654,0.343
-23.1302568,-47.3400879,1.065,0.467
-20.9306583,-41.3415527,-0.169,0.413
-20.4578958,-40.4626465,0.098,0.404
-5.3644596,-39.4519043,-0.598,0.407
-21.8920839,-50.7238770,-0.078,0.436
-7.5258726,-37.6721191,0.120,0.425
-10.3905714,-40.1550293,-0.142,0.415
-3.8971380,-42.8356934,-0.525,0.368
-4.2478122,-40.5944824,-0.461,0.376
-23.6747124,-47.5378418,-0.375,0.450
-3.1076060,-40.1550293,0.182,0.454
-8.3093413,-36.0900879,-0.301,0.432
-21.1152490,-42.8576660,-0.110,0.434
-6.6536952,-36.7492676,-0.500,0.393
-4.4449973,-39.0563965,-0.092,0.417
-22.7863104,-46.5490723,0.349,0.426
-1.7904800,-66.5441895,-0.829,0.406
-28.6809493,-52.1520996,0.056,0.439
-11.0598206,-37.1008301,0.623,0.487
-17.0672871,-44.2419434,-0.502,0.392
-4.6859294,-41.2097168,-0.794,0.322
-6.0203850,-44.0222168,-0.455,0.326
-3.4805234,-54.4592285,-0.588,0.435
-12.6939327,-42.6599121,-0.660,0.348
-20.7252905,-43.1213379,-0.700,0.374
-13.2720261,-42.7258301,-0.496,0.323
-20.1281550,-41.0559082,-0.330,0.423
-9.4382242,-37.0349121,-0.805,0.420
-1.8124418,-47.4060059,-0.800,0.339
-24.5371290,-48.1311035,-0.289,0.387
-9.3298312,-36.7932129,-0.273,0.366
-4.8611009,-39.6936035,-0.183,0.387
-8.8090822,-35.8264160,-0.623,0.321
-26.6572773,-48.9880371,-0.250,0.439
-5.4519589,-44.1101074,-0.452,0.408
-29.5830112,-51.0974121,1.289,0.416
-21.7901067,-46.3513184,-0.155,0.408
-23.7752908,-49.9548340,0.745,0.442
-29.4874244,-51.8444824,-0.092,0.410
-4.1820725,-38.7927246,0.159,0.451
-8.1353671,-35.8923340,-0.425,0.426
-2.5589632,-48.4167480,-0.437,0.363
-8.9176335,-35.5407715,-0.990,0.392
-23.9962894,-46.2414551,1.201,0.498
-11.7275454,-39.2102051,-0.086,0.377
-20.8074712,-41.0339355,-0.380,0.423
-26.7554205,-52.5695801,-0.137,0.460
-15.1039461,-40.8142090,-0.709,0.386
-6.8282612,-38.1555176,-0.434,0.414
-5.8674033,-46.7248535,-0.406,0.395
-22.3602361,-53.7121582,0.244,0.417
-8.5267005,-40.8142090,-0.841,0.336
-25.4135082,-49.4494629,0.054,0.434
-2.2955282,-55.7556152,-0.385,0.388
-8.2658549,-36.5734863,-0.338,0.452
-11.2322862,-38.2434082,-0.367,0.389
-12.3721972,-37.9797363,-0.529,0.371
-13.6993616,-57.9089355,-0.297,0.510
-22.5835822,-44.1540527,0.260,0.456
-4.4230904,-43.9343262,0.121,0.355
-23.8958823,-47.8015137,-0.524,0.409
-20.0043220,-40.9680176,-0.843,0.379
-5.7362428,-35.6726074,-0.562,0.396
-19.9423689,-50.1306152,-0.518,0.473
-28.2366490,-53.8220215,-0.223,0.417
-3.1514858,-60.3918457,-0.438,0.427
-30.0786009,-51.0754395,1.419,0.431
-12.0500648,-41.1437988,-0.380,0.433
-11.4261866,-39.3859863,-0.754,0.434
-9.4382242,-36.6833496,0.188,0.429
-22.9685086,-42.9675293,1.574,0.429
-6.2170122,-35.8264160,-0.145,0.368
-22.9482765,-44.3078613,0.892,0.446
-27.0101960,-53.3166504,-0.325,0.405
-24.7168951,-53.8439941,0.680,0.472
-12.8653594,-41.0339355,-0.491,0.363
-15.0190747,-39.2321777,-0.498,0.358
-14.1046123,-44.5275879,0.017,0.355
-13.1008797,-39.3640137,-0.545,0.379
-8.6570568,-36.5075684,-0.777,0.378
-18.0309744,-49.3615723,0.695,0.483
-29.9454149,-51.6027832,0.393,0.476
-26.9906183,-49.8449707,-0.189,0.466
-1.5488836,-49.2077637,-0.228,0.402
-3.5682478,-45.3405762,-0.617,0.391
-16.4782298,-41.5393066,-0.944,0.361
-22.2585964,-43.7145996,1.054,0.417
-29.5447873,-52.3059082,-0.294,0.442
-25.4928679,-49.2956543,1.224,0.411
-21.5450657,-43.1872559,-0.243,0.443
-25.0955481,-51.5148926,-0.447,0.402
-22.0958194,-48.3288574,0.298,0.434
-4.4011829,-42.2424316,-0.690,0.350
-17.0042615,-42.3962402,-0.809,0.339
-16.0141357,-48.0651855,1.143,0.440
-8.3962996,-36.3977051,-0.568,0.367
-19.8597269,-47.4499512,1.174,0.431
-6.6755194,-35.1892090,-0.186,0.451
-2.0320445,-54.4152832,-1.080,0.383
-11.8135879,-41.5612793,-0.656,0.389
-17.7591494,-42.1325684,-0.708,0.361
-21.5450657,-43.8464355,-0.396,0.383
-3.5463174,-64.4128418,-0.429,0.400
-2.6467632,-54.6350098,-0.491,0.448
-9.1346391,-37.6281738,-1.052,0.424
-2.8223442,-47.5817871,0.127,0.374
-6.8500775,-37.3425293,-0.489,0.393
-18.9686362,-39.8693848,-0.307,0.418
-19.4665919,-42.6159668,0.000,0.477
-22.4008712,-45.4724121,0.324,0.480
-2.9978987,-45.4943848,-0.563,0.344
-20.7252905,-41.7370605,-0.376,0.356
-7.4387304,-37.6721191,-0.537,0.353
-2.3833455,-47.4938965,-0.234,0.374
-16.6677684,-43.7365723,0.094,0.421
-15.4854449,-45.0769043,-0.856,0.355
-6.5882169,-37.6501465,-0.612,0.406
-19.5080198,-43.0114746,-0.256,0.470
-14.2537350,-49.6691895,-0.380,0.370
-7.0681852,-36.1120605,-0.102,0.350
-3.7217452,-61.6662598,-0.117,0.458
-2.3174830,-46.1535645,-0.450,0.364
-7.5040887,-44.2199707,0.109,0.434
-6.2825384,-37.6721191,-0.444,0.412
-3.2611771,-40.0891113,-0.102,0.369
-24.9561796,-49.0539551,-0.178,0.440
-21.4632931,-45.0549316,-0.014,0.471
-25.8295607,-53.5144043,-0.203,0.409
-12.4794869,-43.2312012,-0.261,0.357
-3.6998186,-38.7268066,0.200,0.441
